donor,model,coverage,macro_f1
3K,sann,0.9096501345636294,0.9835799253155789
3K,sann,0.9000384467512496,0.9843575274208505
3K,sann,0.8808150711264898,0.985800957971542
3K,sann,0.8800461361014994,0.9857977710068072
3K,sann,0.8600538254517494,0.9865659783113495
3K,sann,0.8450595924644367,0.9861743141823585
3K,sann,0.8400615148019992,0.9869849129114202
3K,sann,0.8200692041522492,0.9889588159152494
3K,sann,0.800076893502499,0.9898740880380268
3K,sann,0.7946943483275664,0.9917944535169131
3K,sann,0.780084582852749,0.9916327678053118
3K,sann,0.7600922722029988,0.9934913350384947
3K,sann,0.7400999615532488,0.9932679209712058
3K,sann,0.7201076509034987,0.9928542435981488
3K,sann,0.7104959630911188,0.9930937814601546
3K,sann,0.7001153402537486,0.9948813003023778
3K,sann,0.6801230296039985,0.996337355481057
3K,sann,0.6601307189542484,0.9966773145185275
3K,sann,0.6401384083044983,0.9965847821193707
3K,sann,0.6201460976547482,0.9964746915632553
3K,sann,0.6001537870049981,0.9973311613934748
3K,sann,0.580161476355248,0.9975774810944735
3K,sann,0.5601691657054979,0.9974774839921781
3K,sann,0.5401768550557478,0.997735445941473
3K,sann,0.5201845444059977,0.9980138140837507
3K,sann,0.5001922337562476,0.9979001661912499
3K,sann,0.4801999231064975,0.9984483238011304
3K,sann,0.4602076124567474,0.9983504019667171
3K,sann,0.4402153018069973,0.9982244089155049
3K,sann,0.4202229911572472,0.9985904589462568
3K,sann,0.4002306805074971,0.9984431675612347
3K,sann,0.380238369857747,0.9982861465231168
3K,sann,0.3602460592079969,0.9980497591491551
3K,sann,0.3402537485582468,0.9983955948737299
3K,sann,0.3202614379084967,1.0
3K,sann,0.30026912725874666,1.0
3K,sann,0.28027681660899656,1.0
3K,sann,0.26028450595924646,1.0
3K,sann,0.24029219530949636,1.0
3K,sann,0.22029988465974626,1.0
3K,sann,0.20030757400999616,1.0
3K,sann,0.18031526336024606,1.0
3K,sann,0.16032295271049596,1.0
3K,sann,0.14033064206074586,1.0
3K,sann,0.12033833141099577,1.0
3K,sann,0.10034602076124567,1.0
3K,sann,0.08035371011149559,1.0
3K,sann,0.06074586697424068,1.0
3K,sann,0.040369088811995385,1.0
3K,sann,0.020761245674740483,1.0
